DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-09-30,Apples,apple Jazz,0.89,5.3311,3.5511
2016-09-30,Asian Vegies,bitter melon,11.271999999999998,50.72400000000002,-5.636
2016-09-30,Avocadoes,Avocado Hass Medium,54.0,107.45999999999994,-54.53999999999999
2016-09-30,Bananas,Banana Cavendish,1423.7360000000024,2833.234639999999,-14.237360000000006
2016-09-30,Berries,Berries Strawberry (large),181.0,687.7999999999996,85.06999999999987
2016-09-30,Bunch Vegies,Broccolini,10.0,15.0,15.0
2016-09-30,Cabbages,Cabbage Wombok,7.0,10.5,-15.75
2016-09-30,Chillies,Chilli Green long bullhorm,5.349999999999999,37.3965,13.321500000000004
2016-09-30,Citrus,Grapefruit yellow,0.312,0.992727272727272,0.992727272727272
2016-09-30,Cucumbers,Cucumber continental,321.0,481.5,481.5
2016-09-30,Cut Fruits,Rockmelon Half,5.0,5.0,0.0
2016-09-30,Cut Veggies,cabbage  quater green ,5.0,8.5,8.5
2016-09-30,Eggs,Rosa Kekulu Samba5kg kandyan,1.0,12.99,3.2900000000000014
2016-09-30,Flowers,Bunch Roses,16.0,144.0,16.0
2016-09-30,Fruits,Kensington Pride Mango,63.0,126.0,126.0
2016-09-30,Grapes,Ohanez Grapes,1.532,6.11268,6.11268
2016-09-30,Groceries-Dry Goods,Lentils 400g,1.0,1.29,0.38
2016-09-30,Herbs,Garlic chives,1.0,7.99,6.99
2016-09-30,Kalamata olives,Pasta short,1.0,5.0,1.5
2016-09-30,Lettuces,Lettuce Salad mix loose,14.114,169.36800000000002,0.0
2016-09-30,Melons,Piel de Sapo Melon,4.0,11.96,-0.03999999999999915
2016-09-30,Multi buy, Artichoke 2 For 3,16.0,48.0,-9.599999999999998
2016-09-30,Mushrooms,Mushroom Button,0.9460000000000001,10.396540000000002,10.396540000000002
2016-09-30,Nuts,Clove 50g Kandyan,2.0,6.72727272727272,1.7272727272727195
2016-09-30,Olympian Products,Cinnamon 15g,3.0,3.9000000000000004,1.5
2016-09-30,Onions,Brown Onion 1Kg,3.0,3.5999999999999996,-0.9000000000000001
2016-09-30,Other Fruits,Quinces,12.091999999999997,60.33908,59.12988000000001
2016-09-30,Other Vegies,Artichoke Purple,39.0,78.0,0.0
2016-09-30,Pastas,Pennette No.59,2.0,2.4,2.4
2016-09-30,Pears,Pear Nashi,25.872000000000003,77.35728000000002,-26.13072
2016-09-30,Potatoes,Brushed Potatoes 5kg bag,26.0,129.73999999999995,12.740000000000006
2016-09-30,Pumpkins,Wijaya fish curry Powder 70g,3.0,5.97,2.67
2016-09-30,Root Vegies,Turmeric,0.6200000000000001,15.500000000000002,-12.4
2016-09-30,Sri Lankan Groceries,Derana veg lunumiris 350g,1.0,3.99,0.3400000000000003
2016-09-30,Tomatoes,cherry Truss tomato,17.0,51.0,-8.5
2016-09-30,Tropical Fruits,Pineapple,9.0,40.5,40.5
2016-09-30,Veggies,Jerusalem Artichokes,1.804,9.00196,9.00196
